proc       sintheta         tanbeta          Mxd          mA           ma           Xsec(pb)    error
bb            0.35             1.0            10           400          350           0.0001059    3.838e-07
bb            0.35             30.0            10           600          200           0.3084    0.000957
bb            0.34             20.0            10           600          400           0.02819    0.0001291
bb            0.35             2.0            10           600          300           0.0008424    3.237e-06
bb            0.35             1.0            10           600          200           0.0003898    2.749e-06
bb            0.35             1.5            10           300          250           0.002185    7.238e-06
bb            0.35             2.0            10           600          400           0.000354    1.603e-06
bb            0.35             1.0            10           1600          350           5.055e-05    2.5e-07
bb            0.35             1.0            10           500          300           0.0001712    5.958e-07
bb            0.35             2.0            10           600          350           0.0005536    2.272e-06
bb            0.35             1.0            10           500          200           0.0004404    2.599e-06
bb            0.35             1.0            10           800          400           5.126e-05    2.382e-07
bb            0.2             1.0            10           600          200           0.0001117    7.557e-07
bb            0.35             40.0            10           600          250           0.3023    0.00133
bb            0.35             30.0            10           600          350           0.08151    0.0003702
bb            0.35             1.0            10           1200          500           1.595e-05    8.035e-08
bb            0.35             0.5            10           300          250           0.0002443    8.187e-07
bb            0.35             10.0            10           600          350           0.01673    6.824e-05
bb            0.35             30.0            10           600          300           0.1298    0.0004458
bb            0.35             0.8            10           600          150           0.0004263    3.549e-06
bb            0.35             2.0            10           300          250           0.003837    1.317e-05
bb            0.35             1.0            10           200          150           0.002434    1.255e-05
bb            0.35             1.0            10           700          250           0.0002321    7.082e-07
bb            0.35             1.0            10           1600          150           0.0003974    1.82e-06
bb            0.35             10.0            10           600          100           0.1759    0.001254
bb            0.35             1.5            10           600          350           0.0002692    9.283e-07
bb            0.35             0.8            10           600          250           0.0001536    4.801e-07
bb            0.35             1.0            10           900          300           0.0001286    4.505e-07
bb            0.35             1.0            10           1600          250           0.0001366    4.595e-07
bb            0.35             1.0            10           1200          250           0.000172    5.748e-07
bb            0.35             1.0            10           600          500           1.818e-05    7.874e-08
bb            0.35             40.0            10           600          150           0.8009    0.004147
bb            0.35             1.0            10           600          400           5.53e-05    2.546e-07
bb            0.35             1.5            10           600          250           0.0006415    1.886e-06
bb            0.35             1.0            10           400          250           0.0002983    1.04e-06
bb            0.35             1.0            10           600          300           0.000161    5.514e-07
bb            0.35             1.0            10           800          250           0.0002157    6.76e-07
bb            0.35             1.5            10           600          500           5.614e-05    2.256e-07
bb            0.35             40.0            10           600          100           1.968    0.01582
bb            0.35             1.0            10           1400          350           5.754e-05    2.226e-07
bb            0.35             1.0            10           700          350           9.127e-05    3.31e-07
bb            0.35             4.0            10           600          400           0.001971    9.117e-06
bb            0.35             4.0            10           600          300           0.004041    1.322e-05
bb            0.35             4.0            10           600          200           0.007962    4.53e-05
bb            0.35             40.0            10           600          400           0.07087    0.0002966
bb            0.35             4.0            10           300          250           0.01423    4.953e-05
bb            0.35             40.0            10           600          500           0.02401    0.0001081
bb            0.35             4.0            10           600          100           0.02871    0.0002041
bb            0.35             8.0            10           300          150           0.1482    0.0005253
bb            0.35             50.0            10           600          250           0.4002    0.001292
bb            0.7             1.0            10           300          150           0.006083    4.547e-05
bb            0.35             4.0            10           600          350           0.00285    1.133e-05
bb            0.35             6.0            10           600          350           0.006615    2.637e-05
bb            0.35             50.0            10           600          350           0.1525    0.0006336
bb            0.4             1.0            10           600          200           0.000534    3.12e-06
bb            0.35             6.0            10           600          250           0.01293    5.067e-05
bb            0.35             4.0            10           600          250           0.005685    2.364e-05
bb            0.35             8.0            10           600          500           0.003085    1.092e-05
bb            0.35             8.0            10           600          150           0.05017    0.0003123
bb            0.35             8.0            10           600          350           0.01136    4.563e-05
bb            0.7             8.0            10           300          150           0.3464    0.002475
bb            0.35             8.0            10           600          400           0.00789    3.645e-05
bb            0.35             6.0            10           600          150           0.02864    0.0001764
bb            0.35             4.0            10           300          150           0.04596    0.0001575
bb            0.7             1.5            10           300          150           0.01366    0.0001021
bb            0.35             6.0            10           600          400           0.004633    2.135e-05
bb            0.9             1.0            10           1000          350           0.0008398    3.332e-06
bb            0.35             6.0            10           600          500           0.001829    7.638e-06
bb            0.6             1.0            10           600          200           0.001235    6.344e-06
bb            0.9             1.0            10           600          200           0.0004537    1.64e-06
bb            0.35             8.0            10           600          100           0.1138    0.0008056
bb            0.8             1.0            10           1000          350           0.0002006    1.142e-06
bb            0.7             4.0            10           300          150           0.09451    0.0006808
bb            0.7             1.0            10           600          200           0.001376    7.166e-06
bb            0.35             4.0            10           600          150           0.0127    8.538e-05
bb            0.3             1.0            10           1000          350           5.474e-05    2.235e-07
bb            0.35             50.0            10           600          200           0.6298    0.003873
bb            0.35             4.0            10           600          500           0.0007663    2.709e-06
